NULL,NULL,1,1,1,"home","905-525-9140 (A-AA)",NULL,NULL,"SHERBROOKE",11,"Canada","J1H 2W2",NULL
NULL,NULL,2,1,1,"home","905-525-9140 (B-AA)",NULL,NULL,"SAINT-CONSTANT",11,"Canada","J5A 2T7",NULL
NULL,NULL,3,1,1,"home","905-525-9140 (C-AA)",NULL,NULL,"ETOBICOKE",9,"Canada","M8V 3C2",NULL
NULL,NULL,4,1,1,"home","905-525-9140 (D-AA)",NULL,NULL,"SCARBOROUGH",9,"Canada","M1K 3T6",NULL
NULL,NULL,5,1,1,"home","905-525-9140 (E-AA)",NULL,NULL,"MILTON",9,"Canada","L9T 2G5",NULL
NULL,NULL,6,1,1,"home","905-525-9140 (F-AA)",NULL,NULL,"TORONTO",9,"Canada","M4Y 1X8",NULL
NULL,NULL,7,1,1,"home","905-525-9140 (G-AA)",NULL,NULL,"DELHI",9,"Canada","N4B 3E7",NULL
NULL,NULL,8,1,1,"home","905-525-9140 (H-AA)",NULL,NULL,"BOUCTOUCHE RESERVE",4,"Canada","E4S 4G5",NULL
NULL,NULL,9,1,1,"home","905-525-9140 (I-AA)",NULL,NULL,"ANCASTER",9,"Canada","L9G 2W7",NULL
NULL,NULL,10,1,1,"home","905-525-9140 (J-AA)",NULL,NULL,"LE GOULET",4,"Canada","E8S 1Z6",NULL
NULL,NULL,11,1,1,"home","905-525-9140 (K-AA)",NULL,NULL,"ST CATHARINES",9,"Canada","L2P 1R2",NULL
NULL,NULL,12,1,1,"home","905-525-9140 (L-AA)",NULL,NULL,"NANAIMO",2,"Canada","V9S 4K7",NULL
NULL,NULL,13,1,1,"home","905-525-9140 (M-AA)",NULL,NULL,"GRANDORA",12,"Canada","S0K 1V0",NULL
NULL,NULL,14,1,1,"home","905-525-9140 (N-AA)",NULL,NULL,"NEGUAC",4,"Canada","E9G 1K8",NULL
NULL,NULL,15,1,1,"home","905-525-9140 (O-AA)",NULL,NULL,"EDMONTON",1,"Canada","T5A 3J1",NULL
